Reporting Economy,Partner Economy,PSI Reporting Economy,PSI Partner Economy,Year,Value
Albania,Armenia,0.366779267787933,-0.451066911220551,2018,44.882641
Albania,Australia,0.366779267787933,0.971185445785522,2018,354.33537390000004
Albania,Bahrain,0.366779267787933,-0.846294164657593,2018,0.8989574
Albania,Bangladesh,0.366779267787933,-0.985569059848785,2018,1.5400626
Albania,Belize,0.366779267787933,-0.0021232196595519,2018,74.3792021
Albania,Cameroon,0.366779267787933,-1.40180146694183,2018,29.326202199999997
Albania,China,0.366779267787933,-0.298572480678558,2018,4347861.163032901
Albania,Colombia,0.366779267787933,-0.806941986083984,2018,7.5914416
Albania,Costa Rica,0.366779267787933,0.453386008739471,2018,47.7780817
Albania,Dominican Republic,0.366779267787933,0.012300387956202,2018,2.3211132
Albania,Egypt,0.366779267787933,-1.18812155723572,2018,8192.049895099999
Albania,European Union,0.366779267787933,0.6637275411407308,2018,3142878.4897993
Albania,Guinea,0.366779267787933,-0.880597352981567,2018,1.560338
Albania,Japan,0.366779267787933,1.03756272792816,2018,1441.1904153
Albania,Kazakhstan,0.366779267787933,-0.0524022579193115,2018,7.2853245
Albania,Laos,0.366779267787933,0.407969743013382,2018,47.8594044
Albania,Macau,0.366779267787933,1.22980165481567,2018,4.3297178999999995
Albania,Malaysia,0.366779267787933,0.248113676905632,2018,117282.84865520001
Albania,Mauritania,0.366779267787933,-0.632382810115814,2018,0.27460189999999995
Albania,Moldova,0.366779267787933,-0.402167946100235,2018,3.5469042
Albania,Montenegro,0.366779267787933,0.0376955643296242,2018,1645.6747194
Albania,Mozambique,0.366779267787933,-0.833229660987854,2018,0.434162
Albania,Namibia,0.366779267787933,0.685118496417999,2018,4.5575978
Albania,New Zealand,0.366779267787933,1.51216292381287,2018,37.586297099999996
Albania,Niger,0.366779267787933,-1.35827600955963,2018,13.7675596
Albania,Norway,0.366779267787933,1.12084853649139,2018,21827.5464471
Albania,Qatar,0.366779267787933,0.649448752403259,2018,58.7806693
Albania,Saudi Arabia,0.366779267787933,-0.660987615585327,2018,4.0903778
Albania,South Africa,0.366779267787933,-0.237546816468239,2018,230.1079977
Albania,South Korea,0.366779267787933,0.638123750686646,2018,11617.5969449
Albania,Sri Lanka,0.366779267787933,-0.139304608106613,2018,39.1792525
Albania,Swaziland,0.366779267787933,-0.377749621868134,2018,20.6627994
Albania,Turkey,0.366779267787933,-1.31519985198975,2018,54343.1380175
Albania,Ukraine,0.366779267787933,-1.87217938899994,2018,8906.125407200001
Albania,United Arab Emirates,0.366779267787933,0.689255595207214,2018,2153.9830335
Albania,United States,0.366779267787933,0.38623908162117,2018,11054.3461754
Albania,Uruguay,0.366779267787933,1.02414608001709,2018,9.0684736
Argentina,Australia,0.0069098123349249,0.971185445785522,2018,413.56
Argentina,Brazil,0.0069098123349249,-0.459598511457443,2018,114965.73999999999
Argentina,Canada,0.0069098123349249,0.963971078395844,2018,57314.12
Argentina,Chile,0.0069098123349249,0.412769764661789,2018,4165.1
Argentina,China,0.0069098123349249,-0.298572480678558,2018,101320058.01
Argentina,Costa Rica,0.0069098123349249,0.453386008739471,2018,210373.42
Argentina,Dominican Republic,0.0069098123349249,0.012300387956202,2018,234.56
Argentina,European Union,0.0069098123349249,0.6637275411407308,2018,3516598.46
Argentina,Honduras,0.0069098123349249,-0.531820952892303,2018,8350.15
Argentina,Hong Kong,0.0069098123349249,0.776628255844116,2018,1021285.16
Argentina,India,0.0069098123349249,-0.997706770896912,2018,61262.55
Argentina,Indonesia,0.0069098123349249,-0.552034020423889,2018,59302.86
Argentina,Israel,0.0069098123349249,-0.918100237846375,2018,20515.239999999998
Argentina,Japan,0.0069098123349249,1.03756272792816,2018,9397128.57
Argentina,Malaysia,0.0069098123349249,0.248113676905632,2018,22082922.14
Argentina,Mexico,0.0069098123349249,-0.673847019672394,2018,375154.31999999995
Argentina,Morocco,0.0069098123349249,-0.3484927713871,2018,1751566.96
Argentina,Myanmar,0.0069098123349249,-1.26697564125061,2018,263.07
Argentina,Norway,0.0069098123349249,1.12084853649139,2018,53.87
Argentina,Philippines,0.0069098123349249,-1.09620380401611,2018,2475701.8600000003
Argentina,Singapore,0.0069098123349249,1.46825659275055,2018,226426.58000000002
Argentina,South Korea,0.0069098123349249,0.638123750686646,2018,18668149.8
Argentina,Switzerland,0.0069098123349249,1.3194819688797,2018,114839.01999999999
Argentina,Taiwan,0.0069098123349249,0.842051267623901,2018,18454383.57
Argentina,Thailand,0.0069098123349249,-0.799416124820709,2018,3706947.37
Argentina,United Arab Emirates,0.0069098123349249,0.689255595207214,2018,13.97
Argentina,United States,0.0069098123349249,0.38623908162117,2018,1087182.04
Armenia,Canada,-0.451066911220551,0.963971078395844,2018,544.88
Armenia,China,-0.451066911220551,-0.298572480678558,2018,5723847.96
Armenia,European Union,-0.451066911220551,0.6637275411407308,2018,91200.29999999999
Armenia,Hong Kong,-0.451066911220551,0.776628255844116,2018,10077.35
Armenia,India,-0.451066911220551,-0.997706770896912,2018,345.62
Armenia,Indonesia,-0.451066911220551,-0.552034020423889,2018,1184.57
Armenia,Israel,-0.451066911220551,-0.918100237846375,2018,27.07
Armenia,Japan,-0.451066911220551,1.03756272792816,2018,34311.1
Armenia,Malaysia,-0.451066911220551,0.248113676905632,2018,475225.45
Armenia,Mexico,-0.451066911220551,-0.673847019672394,2018,1612.09
Armenia,Morocco,-0.451066911220551,-0.3484927713871,2018,634.7199999999999
Armenia,Philippines,-0.451066911220551,-1.09620380401611,2018,30227.050000000003
Armenia,Singapore,-0.451066911220551,1.46825659275055,2018,1495.65
Armenia,South Africa,-0.451066911220551,-0.237546816468239,2018,549.31
Armenia,South Korea,-0.451066911220551,0.638123750686646,2018,15410.050000000001
Armenia,Switzerland,-0.451066911220551,1.3194819688797,2018,654.84
Armenia,Taiwan,-0.451066911220551,0.842051267623901,2018,147990.77000000002
Armenia,Thailand,-0.451066911220551,-0.799416124820709,2018,24270.94
Armenia,Turkey,-0.451066911220551,-1.31519985198975,2018,57557.76
Armenia,Ukraine,-0.451066911220551,-1.87217938899994,2018,396.34
Armenia,United Arab Emirates,-0.451066911220551,0.689255595207214,2018,13727.31
Armenia,United States,-0.451066911220551,0.38623908162117,2018,206165.3
Australia,Brazil,0.971185445785522,-0.459598511457443,2018,43011.072923
Australia,Cameroon,0.971185445785522,-1.40180146694183,2018,149007.1802152
