Reporter,Partner,ExportRP
Albania,Afghanistan,0.0
Algeria,Afghanistan,0.0
Angola,Afghanistan,0.0
Azerbaijan,Afghanistan,0.0
Argentina,Afghanistan,0.0
Australia,Afghanistan,0.0
Austria,Afghanistan,0.0
Bahrain,Afghanistan,0.0
Bangladesh,Afghanistan,0.0
Armenia,Afghanistan,0.0
Belgium,Afghanistan,0.0
Bolivia,Afghanistan,0.0
Bosnia & Herzegovina,Afghanistan,0.0
Botswana,Afghanistan,0.0
Brazil,Afghanistan,0.0
Brunei Darussalam,Afghanistan,0.0
Bulgaria,Afghanistan,0.0
Myanmar,Afghanistan,0.0
Belarus,Afghanistan,0.0
Cambodia,Afghanistan,0.0
Cameroon,Afghanistan,0.0
Canada,Afghanistan,0.0
Sri Lanka,Afghanistan,0.0
Chile,Afghanistan,0.0
China,Afghanistan,89222388.4218
Taipei,Afghanistan,0.0
Colombia,Afghanistan,0.0
Congo (DRC),Afghanistan,0.0
Costa Rica,Afghanistan,0.0
Croatia,Afghanistan,494630.719
Cuba,Afghanistan,0.0
Cyprus,Afghanistan,0.0
Czech Republic,Afghanistan,0.0
Denmark,Afghanistan,0.0
Dominican Republic,Afghanistan,0.0
Ecuador,Afghanistan,0.0
El Salvador,Afghanistan,0.0
Ethiopia,Afghanistan,0.0
Estonia,Afghanistan,0.0
Finland,Afghanistan,0.0
France,Afghanistan,0.0
Georgia,Afghanistan,0.0
Germany,Afghanistan,26979.857399999997
Ghana,Afghanistan,0.0
Greece,Afghanistan,0.0
Guatemala,Afghanistan,0.0
Honduras,Afghanistan,0.0
Hong Kong,Afghanistan,0.0
Hungary,Afghanistan,0.0
Iceland,Afghanistan,0.0
India,Afghanistan,8993.2858
Indonesia,Afghanistan,0.0
Iran,Afghanistan,0.0
Ireland,Afghanistan,0.0
Israel,Afghanistan,0.0
Italy,Afghanistan,0.0
Côte d'Ivoire,Afghanistan,0.0
Japan,Afghanistan,26979.857399999997
Kazakhstan,Afghanistan,0.0
Jordan,Afghanistan,0.0
Kenya,Afghanistan,0.0
Korea,Afghanistan,8993.2858
Kuwait,Afghanistan,0.0
Kyrgyz Republic,Afghanistan,0.0
Lao PDR,Afghanistan,0.0
Lebanese Republic,Afghanistan,0.0
Latvia,Afghanistan,0.0
Libya,Afghanistan,0.0
Lithuania,Afghanistan,0.0
Luxembourg,Afghanistan,0.0
Macao,Afghanistan,0.0
Malaysia,Afghanistan,0.0
Mali,Afghanistan,0.0
Malta,Afghanistan,0.0
Mauritius,Afghanistan,0.0
Mexico,Afghanistan,0.0
Mongolia,Afghanistan,0.0
Moldova,Afghanistan,0.0
Morocco,Afghanistan,0.0
Mozambique,Afghanistan,0.0
Oman,Afghanistan,0.0
Namibia,Afghanistan,0.0
Nepal,Afghanistan,0.0
Netherlands,Afghanistan,0.0
New Zealand,Afghanistan,0.0
Nicaragua,Afghanistan,0.0
Nigeria,Afghanistan,0.0
Norway,Afghanistan,0.0
Pakistan,Afghanistan,0.0
Panama,Afghanistan,0.0
Paraguay,Afghanistan,0.0
Peru,Afghanistan,0.0
Philippines,Afghanistan,0.0
Poland,Afghanistan,0.0
Portugal,Afghanistan,0.0
